time(UTC);RH
20140101:0000;89
20140101:0100;90,89
20140101:0200;92,79
20140101:0300;94,68
20140101:0400;96,58
20140101:0500;98,47
20140101:0600;100
20140101:0700;100
20140101:0800;95,8
20140101:0900;92,35
20140101:1000;89,05
20140101:1100;85,9
20140101:1200;82,85
20140101:1300;82,9
20140101:1400;82,9
20140101:1500;85,95
20140101:1600;85,95
20140101:1700;89,1
20140101:1800;89,1
20140101:1900;89,1
20140101:2000;89,1
20140101:2100;89,1
20140101:2200;89,1
20140101:2300;89,1
20140102:0000;89,1
20140102:0100;92,45
20140102:0200;92,45
20140102:0300;92,45
20140102:0400;92,45
20140102:0500;95,85
20140102:0600;95,85
20140102:0700;95,85
20140102:0800;95,85
20140102:0900;92,45
20140102:1000;95,85
20140102:1100;95,85
20140102:1200;99,4
20140102:1300;99,4
20140102:1400;99,4
20140102:1500;99,4
20140102:1600;99,4
20140102:1700;99,4
20140102:1800;99,4
20140102:1900;99,4
20140102:2000;99,35
20140102:2100;99,35
20140102:2200;99,35
20140102:2300;99,35
20140103:0000;99,35
20140103:0100;99,35
20140103:0200;95,9
20140103:0300;99,4
20140103:0400;95,9
20140103:0500;95,9
20140103:0600;99,4
20140103:0700;95,85
20140103:0800;92,45
20140103:0900;95,85
20140103:1000;92,5
20140103:1100;92,5
20140103:1200;92,5
20140103:1300;92,5
20140103:1400;92,5
20140103:1500;95,9
20140103:1600;99,4
20140103:1700;99,4
20140103:1800;99,4
20140103:1900;100
20140103:2000;99,4
20140103:2100;99,4
20140103:2200;99,4
20140103:2300;99,4
20140104:0000;99,4
20140104:0100;99,4
20140104:0200;100
20140104:0300;99,4
20140104:0400;92,45
20140104:0500;89,1
20140104:0600;92,4
20140104:0700;89,1
20140104:0800;89,1
20140104:0900;85,95
20140104:1000;82,9
20140104:1100;85,95
20140104:1200;82,9
20140104:1300;85,95
20140104:1400;82,75
20140104:1500;82,7
20140104:1600;82,4
20140104:1700;68,1
20140104:1800;62,95
20140104:1900;58,2
20140104:2000;58,2
20140104:2100;60,4
20140104:2200;65,2
20140104:2300;70,4
20140105:0000;73,2
20140105:0100;76
20140105:0200;82,05
20140105:0300;82,15
20140105:0400;82,2
20140105:0500;82,2
20140105:0600;85,35
20140105:0700;82,25
20140105:0800;82,25
20140105:0900;82,3
20140105:1000;79,35
20140105:1100;76,65
20140105:1200;71,25
20140105:1300;74,05
20140105:1400;74,15
20140105:1500;76,95
20140105:1600;79,75
20140105:1700;85,85
20140105:1800;89
20140105:1900;89
20140105:2000;92,35
20140105:2100;95,8
20140105:2200;95,8
20140105:2300;92,35
20140106:0000;92,35
20140106:0100;92,35
20140106:0200;92,35
20140106:0300;92,35
20140106:0400;92,35
20140106:0500;89
20140106:0600;92,35
20140106:0700;89
20140106:0800;88,95
20140106:0900;82,65
20140106:1000;79,75
20140106:1100;74,2
20140106:1200;74,2
20140106:1300;71,6
20140106:1400;69,1
20140106:1500;66,65
20140106:1600;69,1
20140106:1700;74,2
20140106:1800;79,75
20140106:1900;82,75
20140106:2000;85,85
20140106:2100;85,8
20140106:2200;89
20140106:2300;89
20140107:0000;89
20140107:0100;85,8
20140107:0200;85,8
20140107:0300;89
20140107:0400;85,75
20140107:0500;88,95
20140107:0600;88,95
20140107:0700;85,75
20140107:0800;85,75
20140107:0900;82,7
20140107:1000;79,75
20140107:1100;74,2
20140107:1200;71,7
20140107:1300;71,75
20140107:1400;71,85
20140107:1500;71,85
20140107:1600;71,85
20140107:1700;74,45
20140107:1800;74,4
20140107:1900;77,1
20140107:2000;85,85
20140107:2100;89
20140107:2200;92,3
20140107:2300;92,25
20140108:0000;95,7
20140108:0100;99,4
20140108:0200;95,7
20140108:0300;95,65
20140108:0400;95,65
20140108:0500;95,65
20140108:0600;95,65
20140108:0700;95,65
20140108:0800;95,65
20140108:0900;92,15
20140108:1000;79,5
20140108:1100;63,9
20140108:1200;55,3
20140108:1300;49,7
20140108:1400;48
20140108:1500;48,15
20140108:1600;64,65
20140108:1700;48
20140108:1800;61,75
20140108:1900;68,8
20140108:2000;73,9
20140108:2100;79,5
20140108:2200;85,6
20140108:2300;85,55
20140109:0000;88,8
20140109:0100;88,75
20140109:0200;88,75
20140109:0300;88,7
20140109:0400;88,65
20140109:0500;88,65
20140109:0600;92,1
20140109:0700;92,1
20140109:0800;88,65
20140109:0900;88,75
20140109:1000;73,8
20140109:1100;63,9
20140109:1200;59,6
20140109:1300;51,65
20140109:1400;48,15
20140109:1500;48,15
20140109:1600;62,3
20140109:1700;49,85
20140109:1800;53,5
20140109:1900;74,05
20140109:2000;76,7
20140109:2100;79,5
20140109:2200;82,5
20140109:2300;85,6
20140110:0000;88,8
20140110:0100;92,15
20140110:0200;88,75
20140110:0300;92,15
20140110:0400;92,15
20140110:0500;92,15
20140110:0600;92,1
20140110:0700;95,65
20140110:0800;92,05
20140110:0900;92,15
20140110:1000;76,65
20140110:1100;68,9
20140110:1200;62
20140110:1300;53,7
20140110:1400;48,15
20140110:1500;46,5
20140110:1600;58
20140110:1700;57,75
20140110:1800;66,55
20140110:1900;71,4
20140110:2000;76,7
20140110:2100;76,65
20140110:2200;76,65
20140110:2300;79,5
20140111:0000;82,55
20140111:0100;85,65
20140111:0200;85,65
20140111:0300;92,25
20140111:0400;88,85
20140111:0500;92,2
20140111:0600;92,2
20140111:0700;95,7
20140111:0800;92,15
20140111:0900;92,25
