time(UTC);RH
2025-01-01 00:00:00;89,0
2025-01-01 00:10:00;89,315
2025-01-01 00:20:00;89,63
2025-01-01 00:30:00;89,945
2025-01-01 00:40:00;90,26
2025-01-01 00:50:00;90,575
2025-01-01 01:00:00;90,89
2025-01-01 01:10:00;91,20666666666666
2025-01-01 01:20:00;91,52333333333334
2025-01-01 01:30:00;91,84
2025-01-01 01:40:00;92,15666666666667
2025-01-01 01:50:00;92,47333333333334
2025-01-01 02:00:00;92,79
2025-01-01 02:10:00;93,105
2025-01-01 02:20:00;93,42
2025-01-01 02:30:00;93,73500000000001
2025-01-01 02:40:00;94,05000000000001
2025-01-01 02:50:00;94,36500000000001
2025-01-01 03:00:00;94,68
2025-01-01 03:10:00;94,99666666666667
2025-01-01 03:20:00;95,31333333333333
2025-01-01 03:30:00;95,63
2025-01-01 03:40:00;95,94666666666667
2025-01-01 03:50:00;96,26333333333334
2025-01-01 04:00:00;96,58
2025-01-01 04:10:00;96,895
2025-01-01 04:20:00;97,21
2025-01-01 04:30:00;97,525
2025-01-01 04:40:00;97,84
2025-01-01 04:50:00;98,155
2025-01-01 05:00:00;98,47
2025-01-01 05:10:00;98,725
2025-01-01 05:20:00;98,98
2025-01-01 05:30:00;99,235
2025-01-01 05:40:00;99,49
2025-01-01 05:50:00;99,745
2025-01-01 06:00:00;100,0
2025-01-01 06:10:00;100,0
2025-01-01 06:20:00;100,0
2025-01-01 06:30:00;100,0
2025-01-01 06:40:00;100,0
2025-01-01 06:50:00;100,0
2025-01-01 07:00:00;100,0
2025-01-01 07:10:00;99,3
2025-01-01 07:20:00;98,6
2025-01-01 07:30:00;97,9
2025-01-01 07:40:00;97,2
2025-01-01 07:50:00;96,5
2025-01-01 08:00:00;95,8
2025-01-01 08:10:00;95,225
2025-01-01 08:20:00;94,64999999999999
2025-01-01 08:30:00;94,07499999999999
2025-01-01 08:40:00;93,5
2025-01-01 08:50:00;92,925
2025-01-01 09:00:00;92,35
2025-01-01 09:10:00;91,8
2025-01-01 09:20:00;91,25
2025-01-01 09:30:00;90,69999999999999
2025-01-01 09:40:00;90,14999999999999
2025-01-01 09:50:00;89,6
2025-01-01 10:00:00;89,05
2025-01-01 10:10:00;88,525
2025-01-01 10:20:00;88,0
